Score;Summary;Text
4;Very Powerful;I used this dye for a mixed drink for Halloween.  Works great and a little goes a long way.
5;Worth Every Penny - Wellness CORE dry and Wellness Grain Free canned;Over the last two years, our older cat (now 11 years old) had ongoing issues with diarrhea and vomiting.  After several trips to the vet and numerous tests that found nothing wrong, we were left thinking that this was her lot in life, sensitive to hairballs with a testy stomach.
3;It's just ok...;I have been using this product all month with very little to say about it. Initially it does make your face feel really soft and hydrated, BUT it does not last.
2;My Aussie kinda likes them;My 5-year-old Australian shepherd, Pete, has put on a lot of weight in the last 18 months, so I was curious to see how he would take to a low calorie treat.<br />I placed a regular size Milk Bone, a small Beggin' Strip, and a Zoe treat stick side-by-side on the carpet and invited Pete to help himself.
2;Just OK;I bought this tea after purchasing the same blend at our local tea store, so had the opportunity to compare the two side by side.  Here's my take:  Before brewing, my local tea store's Cassis/Black Currant clearly had significantly more flavor, smelled fresher, and had much longer tea leaves than did the SerendipiTea brand.
5;GREAT little cracker-awesome to make smores!;My daughter has eaten gluten free for 8 years now (she's 13).  These are her favorite crackers and the only ones we eat in the house (I don't have any wheat here).
5;Addictive, but it does have fat;"The description says ""no fat"" but it is really ""no fat added"".  It does contain some fat but its less then other granola."
5;Delicious and Gluten-Free;These cookies are delicious and gluten-free. I bought them as a gift for my daughter who has Celiac disease.
5;Awesome Deal;This is an awesome deal, arrived without damage and not melted (then again it is February in Indiana, so it is cold). Great gift for someone who loves these.
5;My Favorite Tea Licorice Spice!;Those of you who love black licorice or anise flavor - this is it! This tea is so flavorful and aromatic, it's intense. In my opinion, the addition of sweetener is not necessary! Good for your daily diet but remember this is not a wimpy tea, it's full bodied.
5;Excellent Price;Changed to this food recently, then had to change again due to vet's recommendation to go to a non meat, non poultry protein source. Can only comment that this food received a very good rating on Dog Food Advisor, a great site that impartially and scientifically reviews dog food quality.
2;YUCKY! Not worth my weight watchers points!;I bought these with the hopes I could eat them at the movie theater and save myself the extra calories. I started Weight Watchers 3 months ago and you can have 7 vines for 2 points which is really good.
1;DO NOT BUY! TASTE LIKE CR@P;This is the worst tasting chocolate bar ever. I think if actual poo has a taste this would be it.
5;Perfect SAFE Sweetener;This is an excellent way to sweeten whatever you need it for.  You can't tell the difference from the sugar you're so used to.
5;Rice!;I have used this product for almost a year, purchasing it from health food stores. Buying from Amazon is much more economical.
5;My Baby loves it!;My baby boy loves eating this food, better than some Earth's best Stage 3 foods.  It doesn't taste too bad either.
5;Very happy with Chocolate Oranges;I'm very happy with Terry's Chocolate Oranges.  My sons head straight to their stockings Christmas morning - just to dig out these fabulous treats.
5;Awesome tea - great value;Best bagged pure green tea out there. Great flavor.
5;The best instant miso...or was the best;I've sampled several at-home, instant miso soups.  Miso-Cup has the best taste and is a reasonable price.
5;Joey loves these;My mini-poodle, Joey, has chronic pancreatitis, diabetes and thyroid disease.  She is allergic to beef and corn.
5;Fantastic!!!;I ordered these for a friend who is from Canada and these always were her favorite candy bar as a child.  She can never find them in the U.
5;Excellent price for a world class coffee;This coffee was shipped promptly and well packaged. The freshly ground coffee from the Boquete region is flavorful, aromatic and without the acidity of coffees from other regions.
5;BEST Hot Chocolate EVER!;So chocolaty and spiced just right! I decided to try this brand after reading all the wonderful reviews. I'd never had spiced hot chocolate before - just the plain store-bought instant kind.
1;Very disapointing!!;I received my order of Grove Square hot cocoa mix today, and was very shocked to see that hydrogenated oil was one of the ingredients in the mix. I have avoided using any products that contains trans fats because of the negative effects on blood lipid levels.
5;Love these!;The flavor of these is definitely what stands out immediately to me. Most healthy snack bars have either an unappetizing or bland flavor.
4;Senseo Paris Coffee Pods - easy route to good coffee;So long as you have a pod type coffee machine, the Senseo Pods, in all their variations, make a good cup of coffee easily. If you drink one or two cups of coffee per day they are worth the price of the machine and the pods.
5;Milk!  It does a body good!;My husband and I started drinking non-fat dry milk eons ago and when we found the Saco brand in the stores we frequented, we snapped them up.<br />Unfortunately, our stores quit carrying it and we had to look elsewhere.
2;ok, beans may have been old?;We were very excited to try shome Italian espresso beans and read great reviews for this brand but we're disappointed. Most espresso blends we have purchased are dark and seem to have an oily look.
4;Yummy!;Delicious taste, but it's way too crunchy. It hurts my teeth and gums.
5;Best K-Cup,  Full-flavored and Not Bitter;This is excellent and the best I have found for the Keurig maker.  I tried all the assorted flavors that came with the Keurig and they were all weak and horrible.
5;A wonderful introduction to flavoured matcha!;It took me a long time to finally place an order for some Red Leaf Tea matcha, and now that I have it in my hands (and my tummy!) I wish I had have purchased it sooner.<br /><br />I was unsure whether I would find it too much of a fuss to prepare matcha myself, or whether I would enjoy the delicious sweet grassy taste of matcha paired with rich flavourings.
3;o.k. not great;as a flavor infused oil these lack any real flavor as far as i could taste. as olive oil its ok-not the best not the worst.
5;Delicious and great price;These almonds are very tasty.  I eat them alone and sometimes mix them with plain Greek yogurt for a delicious and healthy treat.
2;Vastly prefer Xyloburst brand;My wife and I have been going through the different brands of Xylitol gums/mints/products for the past 2 years.  We decided to try the Xlear Spry stuff because it was cheaper.
5;Dee-licious! (And healthy);I hate instant oatmeal. I thought I hated ALL oatmeal until I tried Steel Cut.
5;Dandy Blend;I was advised to stop drinking coffee or any caffeinated products, even so called decaffeinated products. I remembered that there was a product called Postum and as I recalled it did not taste good.
5;item is wonderful, don't buy here though;i was looking to see if i can get a better deal than 2.79 a box that i pay at my local, regular, supermarket.
5;Entire family likes this! Satisfying meal w RICE;fYI: entire package = about 1 cup of stew.  Not that much! Would definitely need rice/nan plus a side dish (salad?) to make this a meal for two.
5;Best brown rice...;"I typically do not like brown rice due to its' ""brown paper"" like taste.<br />I decided to try this and what a difference!<br />It cooks up like a very fluffy white rice and the texture and taste is wonderful."
5;Just can't get enough...;Delicious, perfect. An all-natural fruit drink with fewer calories than a comparable non-diet beverage.
4;It's Funny To Think The Titular Character Is Only In The Movie Less Than Twenty Minutes;Beetlejuice is a movie I consider to be one of Tim Burton's best movies. I also consider it to be one of those kind of movies that could have come out only in the 80s (much like Labyrinth starring David Bowie and Jennifer Connelly).
5;Coffee;Amazing experience every time. The taste of cinamaon and hint of sweetness in just the right amounts.
5;Hearts of Palm;"Excellent product, great value with free shipping! I have been purchasing these on a regular basis for two or three years and the result has been consistently positive. I save $12 - $15 off retail prices in my area and the quality is much better than ""the cheapest"" alternative."
4;dog loves it;i have a lab mix, with a lot of energy-and this toys actually keeps her very busy. Buy lots of refills.
3;dog didnt like it;My dog loves peanut butter, but she really didnt like this particular treat.  I've given her Zuke's beef treats and she liked it very much, so thought would try peanut butter.
1;fake elderberry tea;"All drinks,hot or cold, should be labeled if it has caffeine in it there are some people can't have caffeine because of certain heart conditions it could put them in the hospital or worse! I would rate this tea O, because of lake of information I became ill!<br /><br /><a href=""http://www.amazon."
5;Very Tasty Organic Granola;I do not like granola but this mix is excellent. Hemp and flax do not sound tasty, but the blend with the organic oats and pumpkin seeds is very nice.
5;Great Flavor!  Excellent Choice for Weening from Cofee;I love the flavor..
4;Love it! Taste's Great!;I was a little skeptical when I bought this product despite all the great reviews. I've never found a meal shake that I've come close to actually liking.
5;Perfect every day coffee.;I have tried many different k-cups and this has remained my favorite for the longest time. It is the perfect balance, not too weak and not too bold.
5;Worth trying;This tea has a smooth, well rounded flavor and goes very well with steamed milk. I drink tea all day, and Earl Grey is my go to black tea.
5;Perfect if you're in a hurry;You can't go wrong with the oatmeal in a cup..
1;Broken cookies.;We buy this type of product because of a health condition. We ordered these cookies fully expecting them to arrive in a some what good condition.
5;Navitas Naturals Lucuma powder;I bought lucuma when I went to Lima, Peru and thought I could never get it anywhere fresh but there. Until I gave Navitas Naturals a shot.
5;My puppy loves them!;My puppy is a 12 week old French Bulldog / Boston Terrier mix.  She just loves these bones!  They're about the only thing that can get her to sit still.
5;cookie of the future - pure, non-gmo;I have gluten sensitivity but when I ate this cookie, it did not<br />bother me.  In general I have noticed I am able to eat things<br />with wheat or corn that are non-gmo.
5;Very good overall.;Genmai cha is green tea with rice, and has a smooth, almost nutty flavor. I find it to be a very satisfying tea, great for drinking all throughout the day.
5;FRESH AND YUMMY;I recently bought 2 packages of Bergin Pecans and my family immediately requested Pecan Pancakes for a full week.  They were fresh and oh so good!  I have also noticed that purchasing Bergin Pecans through Amazon is cheaper than purchasing pecans from my local markets.
5;Addictive Coffee;Tully's Coffee Kona Blend is wonderfully addictive !  Beats out any of it's competitors !  We love to have a cup or two in the morning to start out the day.  The packaging was a little beat up due to scrunching of the boxes, but the contents inside were in perfect condition.
1;stale;avoid it, this is old stale coffee. I gave it a try because it was low price at the time, I guess i know where old coffee goes now.
4;Nice Mild & Sweet Cinnamon;This is a good mild and sweet ceylon cinnamon.<br />Anyways, i'm using it to lower blood sugar, i'm not diabetic but i'm trying to loose weight and by lowering blood sugar it helps regulate the insulin levels.
5;Healthier option with great flavor.;My family loves these and the fact that the primary ingredient is fruit juice makes them a somewhat better option than candy.  The pieces are a good size and the flavors are great.
5;Great stuff;We use this beef stock to make a faux soy sauce for my son who is allergic to all kinds of foods. This is the only brand of beef stock we have found that is safe.
5;very good cereal;This cereal is very good
5;Best Pork Rinds Ever!;I first purchased this product a few months ago after a co-worker mentioned them.  So I decided to try them out for myself.
5;Easily the best pod coffee I've tried;Various pods from different companies either don't fit my Senseo very well or produce indifferent coffee.<br /><br />These pods fit perfectly and brew easily the best cup of coffee of any of the pods I've tried.
5;very good - just oil & salt;I used to eat another brand similar to this natural flavor, but it disappeared from shelves, so I tried the O.R.
1;Sour Smell emailed company;I received the Zukes Chicken Mini's a couple of days ago. I opened the bag and the smell that came out of it was a sour almost vinegar smell, much like pickles in away.
5;Organic and not too sweet;There is a definite, crisp and crunchy texture to these bars. Some other bars have a slight chemical aftertaste.
5;The best snack!;I can't believe everyone who rated these didn't give them 5 stars!  I always have these on hand, and everyone who I let try them NEEDS to know where they can get them. I  have never met anyone who didn't love them!  I like the sour cream and onion flavor as well!  What a great healthy, low fat snack.
5;Surprisingly Economical, Convenient, Healthy;My husband and I have been pleasantly surprised by how much we've come to love this product. We tried Ganocafe because a friend gave us a sample.
3;Vanilla;I have only tried this flavor but it's good! No need for additional flavour shots. It's perfect for a cool evening.
5;Pedigreee Good Bites Skin & Coat;I had previously purchased but recently I looked for these at our local stores and could not find. My dog loves them and I do believe they help her coat to shine.
5;Good tea;I bought my mom this tea and I think she's addicted to it. She's real picky about teas, seeing as she'll blow cash on high-end jasmine and oolong teas.
5;Great Food at a Great Price!!;"I began my search for the perfect puppy food after finding out that Iams, Eukanuba, Science Diet and other so-called ""Premium"" pet foods are basically the same junk as Kibbles 'n Bits, but with a premium price. My research led me to the Wellness brand, which is a great food but a bit on the pricey side."
4;Family gave it a thumbs up...;During the summer we do a lot of outdoor activities so this leaves little time for kitchen prep.  I cut chicken into chunks the night before we went to the zoo and upon returning home just threw them into the pan along with the included ingredients.
5;Fabulous for White Bread Only Kids;I was convinced by other reviewers to take a chance on this wheat pasta, and I'm sooooo glad I did. No one in my white-bread-only family noticed that it was wheat.
4;Best Energy Drink;This energy drink is great, no crash, taste good, and no calories. It is cheaper at some stores, but on amazon you get it delivered right to your door.
4;Typical Energy Drink;No Fear,Super Energy Supplement is your typical energy drink, and in my opinion tastes very similar to Red Bull. I tend to find all energy drinks taste the same though.
5;Very good value...;I've been purchasing K-Cups from Amazon for about 6 months now since I found the pricing to be cheaper than what I can get in the stores (even if I clip coupons and look for the sales.)  I was excited to see how cheap these were per cup when I first ran across the SF brand.
5;Better than decent tea blend, affordable, not top of the line;The truth is, you almost always get what you are paying for. In the case of this line of teas, you are just a tiny little bit above the average 'value' curve.
5;An excellent product;These cranberries are excellent.  I make my own granola and I use them in that.
5;Loving the Lemon;I have never in my life written a review on any product until today. These cookies have compelled me to speak out! The Ginger Lemon is just great! The ginger is not over powering and the lemon is tart and sweet.
5;Superb Snack - but artificial flavor added;I am torn: 4 stars or 5 stars? I decided on 5 stars:<br /><br />- The taste is great! If you are Coke or Pepsi drinker, then they may not be sweet enough for you. I am not, hence I and my entire family enjoyed their subtle chocolaty flavor.
5;Great Conditioner, Nicely Packaged Design;Finally, a conditioner that does what it states.  This is one of a few I've used over the years that helps me avoid post shampoo and drying tangles and leaves my have manageable but not so heavy it looks fake.
4;Happy Hippo Cravings;My daughters tried their first Happy Hippos while visiting Spain. They have been obsessed ever since.
3;gritty pasty semi-tasty;NOTE: If you like this product and plan to use it, the quickest way to heat (and then properly store in a glass jar) is to put in the trunk of your car on a warm/hot day for a couple of hours..
5;Great doggie treat...;My dog has skin allergies and she can't have the usual treats with meat, turkey, etc.  This is an excellent treat for her when she is good.
5;Just like the theater!!!;Our whole family LOVES this popcorn!  It tastes just like the theater's!  When we first purchased our Lincoln Popper from Discount Tommy, I thought I would just make my own blend of salt, butter and other spices.  But I could never get it just right.
5;Raw food heaven;As a raw foodist I am always looking for foods that are both delicious and truly nourishing.  These wonderful flax crackers fill the bill.
5;Our pet loves greenies;Our pet loves having greenies as treat, she gets crazy every time she hears or see us opening the package. Her breath also gets better after eating her treat.
5;Best there is!;This is the main product that brings me back to Costco.<br />The tuna is superior quality and it's the only place where you can still buy 7oz cans.
1;Flavor additives -- not just tea!;"I was really excited to get this tea, as I'm totally addicted to cold-brewed iced tea and was looking forward to cutting out an overnight steeping of teabags and saving time.  However, when the tea arrived I discovered the ingredients weren't just ""tea"" -- they also had ""natural tea flavor"" and ""natural flavoring"" in each bag."
5;Very enjoyable;Both my 4 1/2 year daughter and I really enjoyed these cookies. I love the combination of chocolate and peanut butter.
5;mmmm...;wow delicious and healthy??! i won't buy any other protein bar,these are simply excellent.  I also use the chocolate whey protein powder.
1;Broke;This did not last 15 seconds with our dog.  Chewed the piece that inserts into the bottle.
5;Fast service, generous supply, great tea.;My order was filled quickly and correctly. The tea is very good.
5;Great Coffee!;I think this is a little known brand of coffee, but it beats Senseo's  by a mile! I'm glad Senseo was on backorder - I was tempted to try The Pod. It's a very full-bodied coffee, but smooth.
5;Love the beans, love JR Mushrooms;I bought these and the greatest thing besides the awesome price and the fabulous beans is that the VP or CEO or some such lovely gentleman actually emailed me and thanked me for my purchase and when I responded, followed up again with a nice response! How nice is that in this day and age!<br /><br />I used these beans in my home made eggnog this year and it was out of this world. I first scraped the bean and then threw the pod in and left it there till the nog was gone.
5;Like no other earl grey;This is more than just Earl Grey, the flavor and the fragrance are intense. After this tea, the other brands are just bland.
3;Eh... its just ok.... creamy, no kick...;Well, its creamy but not bold..
4;Cats love it !;Cats are happy , so it must be good . The only reason it doesn't get 5 stars is because I prefer cans over pouches because it's easier and less messier to handle the food .
5;Soft Oatmeal Yumminess;These things are great!  I don't like the granola-like crunchiness of most oatmeal bars, but these are soft.  No high fructose corn syrup or other unnatural, unhealthy stuff.
5;Delicious!;I was so excited to find these! The ones I received are about 2.5 inches in size and 120 calories two.
5;Finally--delicious GF baked goods!;The pancakes are so good I don't even mourn for the pre-diagnosis days--they're better than bisquick.  Also, I just followed the recipe on the bag for zucchini muffins and I can't believe how good they are.
5;Texture and taste;This is great baby food.  It has an interesting texture that our baby likes in her mouth, and she loves the taste.
4;A healthy alternative;I purchased these treats for my dogs after they experienced excessive weight gain from dog biscuit alternatives. This product has a much lower crude fat ratio than other biscuits, such as milk bones.
5;Best litter to date;I agree with all the comments about this litter being easier to scoop and dispose of in the toilet. I have four cats and I change the box out around every 2 weeks.
4;Two enthusiastic paws up;Okay, so I admit I spoil my cat.  These Whiskas Purrfectly Tuna pouches are hit with my furry kiddos.
5;Starbucks VIA Ready Brew Coffee;I love these Starbuck's VIA packets. I'm one of those people who want a cup of coffee right after getting up and sometimes that's a problem when I travel.
5;Delightful, Tasty, Healthy Tea for Digestive Support...Superb!;*****<br /><br />This Lemon Ginger Tea from Yogi Tea is for easing occasional indigestion and gas, and for enhancing circulation. It's a delightful, all natural tea made from ginger root, lemon grass, lemon peel, licorice root, black pepper, peppermint leaf, natural lemon flavor, ascorbic acid, and natural licorice flavor.
5;Cheeseball mix;This cheeseball mix is wonderful.  I was unable to purchase it locally and I found it was available on Amazon.
5;Refreshingly Delicious!;I love both the Lemonmint and Peppermint flavored water!  I was first introduced to this product at a Whole Foods market and loved it, but since I live 2 hours from the closest Whole Foods, I was delighted when I found it on Amazon.  This water is served best very cold and the flavor is cool and refreshing.
5;picky eater;I know this is a cat treat but my chihuahua that wont eat anything but human food devours this snack. My other chi loves it just as much but she will eat anything.
1;ewh;These cookies arrived in crumbles and tasted like wood. I understand now why they were such a good price.
5;great coffee;Green Mountain is a great blend of coffee.  It has a flavor that I like.
5;From an old coffee lover;The coffee I ordered was here in less than a week after I placed the order. The packaging was excellent.
5;Tried them all... Best Sugar Substitute;My husband bought some of this sugar substitute at Whole Foods a while back and now we are hooked!! This even beats Stevia/Truvia as a sugar substitute. I have also used this to bake with and it works almost as well as real sugar.
5;yummy;Great if you pan fry these with braggs amino liquid. double yummy! great taste, good expiration date.
5;Great Hot cereal!;Full of good health goodies! Lots of fiber, omega-3, flaxseed. Cooks fast.
5;Dog loves them;We bought our dog both the turkey flavor and the salmon flavor.  She seems to enjoy the salmon flavor much more but does like the turkey as well.
5;good tasty treat;My 11 month old daughter loves these. Not only is the taste great, the texture is really soothing to her gums.
5;One of the Most Delicious Teas I've tasted!;This is a great tea. It brews up so fragrantly and the taste is so clean.
4;Pretty Good;As with all foods, your mileage may vary with this product depending on freshness and all that. I didn't much care for it at first, but I found it to be an acquired taste and I actually do like the product now.
5;Great product..;This pepper has great flavor to put on any meat, fish, vegetable or pasta and potatoes. Love the flavor.
5;They're Good. Fresh and Tasty.;Hmmmm. I read somewhere that a little dark chocolate is now good for you.
4;Scott's fudge balls;These were delicious, but not wrapped as well as I think they should be.  They kind of melted out of their wrapping.
4;Good little variety pack for vegetarians.;I am a vegetarian and a fan of indian food, so I decided to try this sample pack of Kitchens of India food products. I find it difficult to come across a deal that involves all vegetarian friendly foods, and so I purchased this when it was in the Daily Deals section.
5;So far so good;We have a year old bullmastiff and have tried Iams which she would eat but wasn't too crazy about. We decided to go with Wellness, a little pricey but well worth it.
2;missing everything but the tree;I received the tree in a timely manner, and it was in a fine condition. However, besides the typed instructions and the ceramic pot housing the tree, none of the listed items were received.
5;Amazon helps me celebrate winter;"When winter rolls around it is cider and cocoa time. Even though winter was very light this year my craving for apple cider did not diminish and is a ""must have"" for me."
5;Wonderful for conditioning and moisturizing the hair and scalp;I use this product on my hair and scalp and it is a great conditioner. It is very light and absorbs quickly in my hair and scalp.
5;Dog goes bananas for these;Sorry for the pun but my pup really loves these things. They're obviously more expensive than regular treats, but they are definitely higher quality.
5;Tastes great, really sweet;The instructions state to add one packet to 8oz of water. Since my bottled water is 20oz, I removed enough water to fit the powder, and mixed it in.
5;Delicous!;Love this stuff! Gives a unique flavor to lamb or vegetable stews. Use less than you think you'll need - this is potent.
5;Yummy Dressing;It is almost impossible to find this dressing in the stores anymore!  It is so good and is delightful on a salad made with lettuce, Romano cheese, almond, and sesame seeds - a recipe that was used at a popular restaurant in my area that is now closed.  Try it.
5;Almost $4 a bag & messy. So why do I give it 5 stars?;Taste. A very natural taste.
5;Dodger Loves It!;On occasion, my daughter and son-in-law will go away and leave their Shitsu (Dodger) with us for a few days visit.  When that happens he seems to come with all the material things that help make him happy.
5;Yummy;Shipped quickly.  The candy was fresh and tasted great.
1;If you love your pet don't buy!;"Fed to dog and she got violently sick and vomited the whole this up after eating it. Don't buy this product if you love your pet!!<a href=""http://www."
5;G.W.J.;I have been making wine kits since 2004 at the rate of 1 kit per week. I have been buying mostly the Wine Expert/Vintners Reserve kit.
5;Splendid Surprise!;I had this on my shelf unopened for several months, picked up on a whim and forgotten until snowstorm food became boring. By itself on lettuce, arugula, green beans, sprinkled on the Rancho Gordo heirloom beans.
5;Good Product - Nice Taste;I purchased this coffee flavor (Hazelnut) for my wife and she is really enjoying it.  Only problem is when we received the box, all k-cups were packed inside the box and a couple of k-cup were punctured.
4;I enjoyed it;Overall, I found Switch Kiwi Berry to be tasty.  I do think that perhaps they could dilute it a bit with more carbonated water, as the flavor seems pretty concentrated.
4;Have a bit of sweetener after taste;Pretty unique.  There's no filter inside.
5;Best non-whey non-soy alternative;Edit: Upgraded to 5-star.  They appear to have changed the recipe, as the last couple containers I have acquired have tasted substantially better! It almost tastes like Swiss Miss cocoa (and while Swiss Miss is not really my idea of great cocoa, for a protein drink mixed with water, that is pretty good!)<br /><br />Summary: This is the best non-whey, non-soy protein I have found, and I would highly recommend it to anyone with soy+whey/dairy sensitivities! I rated this 4 stars, but if you can't have whey, it is definitely a 5-star product.
5;Great;Received a Senseo coffee maker several Christmases ago. Settled on the medium roast and have enjoyed it ever since.
4;Gluten Free nature Valley roasted Nut Crunch Bars;I was very skeptical about this product, it was like peanut brittle, kind of hard.  I was expecting something soft like mose Nature Valley bars.
2;PASKESZ APPLE CHIPS;I WAS SOMEWHAT DISAPPOINTED WITH THESE APPLE CHIPS.  I HAVE PURCHASED SENECA APPLE CHIPS IN THE PAST--I REALLY LOVED THEM.
5;Yum!;I LOVE pop chips!  I like salty snacks and having one this low calorie is great.  I did think that the single serve bags of salt and vinegar has less flavor than the bigger bags, so I think next time I buy in bulk I'll get the bigger bags.
4;Excellent snack;I could not get this brand of jerky in local markets. They are delicious and I am glad Amazon carries it.
5;I think it's great!;Made it without the oil, only cuz there was none in the house..
5;Best cat food;I started buying Wellness cat food after my vet recommended it. I've been using it ever since.
5;Perfect in every category and delicious!!  Highly recommend!;I've tried them all, literally.  I came across this drink completely by accident while I was at Whole Foods.
5;Just about my favorite K-Cup coffee so far;Got a Keurig for Christmas, so I've been having fun trying the wide variety of available K-Cup products.  So far, this is my favorite of all the coffees, and one of the few I'd stack up against a good cup of freshly ground and brewed regular coffee.
3;Low Carb Snack, High Sodium;I got these when I was on the Atkins diet as a snack. They are very cheesy, and very very salty.
5;Beautiful, big bouquet;I ordered this bouquet for my Mother-in-Law as a late Mother's day present. It arrived on the day I selected, which also happened to be the day she had been in a car accident.
5;Fantastic Coffee;This is some great coffee,been drinking this for past 5 years. I never get tired of having it, even with heat wave I still enjoyed the flavor.
4;Almost as good as vanilla - 90%;"I asked a barista at a local java shop what kind of Chai they had behind the counter.  He said ""Big Train"", I've been buying it ever since."
4;Bob's Quinoa;Decent product, it takes little longer to cook than it says on package. Stir it often.
5;Awesome tea;Stash tea is a fantastic flavorful tea and I particularly like Earl Grey.  The decaf is a little hard to find at times but Amazon has it for a great price if you buy in bulk.
3;Good snack, but a bit hard on the tummy...;This is good snack that is easy to bring along. Great container too - love the screw-on lid! However, the pepper taste is quite strong, so be warned that if you easily get an upset stomach or deal with heartburn, this is not the snack for you.
5;Good treat at a good price;I bought these at a pet store prior to amazon and paid probably double the amount ($6 something). My dog loves it, and I give it to her as a reward for staying while being groomed, or pooping and peeing outside.
5;Excellent product;Very tasty add-on to your popcorn! What is really nice about this is that it gives you several different flavor choices and you can easily get to them.  Well designed packaging.
5;Awesome Tea;I've always liked hot tea but this is by far the best I've ever had.  I've shared it with others & now they too are hooked.
5;organic dog food;Human-grade chicken, all organic dog food.  The food is delivered to me monthly on schedule via the Subscribe & Save program.
5;Da Bomb!;My daughter gobbles these puffs up like they're manna from heaven..
5;Good taste and bold;This is the first time I tried this flavor. It's bold and strong.
5;Delicious! Delicious! Delicious!;The heading says it all. Crisp and fresh packs of cookies well packed for transit and quickly delivered.
5;Rosie's favorite treat;My dog looks forward to her chicken topper treat every evening.  It seems to calm her down knowing she must have been a good dog during the day to get such a great treat.
5;Usually love this product but not this time;We always order organic shelled hemp seeds from Nutiva and we love them but the last order we received was horrible.  There were a ton of shells mixed in with the product which made it very bitter and hard to eat.
5;Great for short time energy;Great for long drives when you are tired or just need that little extra something to help you wake up.<br />The Pomegranate taste is better than the others also.
5;Other Review Dishonest;The other review (entitled 'Fruit and Branch Mangler) is dishonest. The reviewer wrote negative things about ALL the fruit pickers except his.
5;Great value, great product.;I'm not quite ready to fully switch my dog to this, but at this price you really need to give it a try. Our regular feed is Halo which costs around $3 per pound.
5;our daughter loves these gummy bears;Our two year old loves these gummy bears.  I feel less guilty about giving these to her since they're all natural.
1;"Spoiled long before ""Best By"" date";One of the most disgusting experiences of my life!  Pulled the package out, opened it without looking at it, and smelled something indescribably gross.  Looked through package window, and what was left of my jerky could not even be identified as jerky.
5;Very healthy for your babies - different texture;
3;darjeeling;well..
5;love it!;I eat several Kashi foods and I love this one.  It has got to be hands down one of my favorites!  The cinnamon taste isn't overbearing like in kids cereals, and the past several months I've even swithced my kids over to Kashi.
2;Not as expected;These came out smaller than I expected, but the taste as not as good as I thought it should be.  Second time, I added a couple of items, which helped a little, but it is hard to find a great tasting boxed muffin mix.
4;great but dogs get tired of it;This is one of the only foods that our border collie has been successful with in terms of allergies and other unwanted side effects of various other high quality grain free foods. We have tried many things but always come back to Sojos.
1;Shortchanged...;I fell in love with Fisher peanuts when I was flying Korean Airline.  i bought this due to the container version doesn't seems to taste as good as the one I had on airplane.
5;Nature's Burger - I love it;One day over 20 years ago I detected a wonderful smell in my kitchen and it turned out to be some Nature's Burger mix + water being prepared by one of my house mates. He was letting it soak in preparation for frying.
5;Great ghee, good size;I use ghee a lot for cooking (couscous, frying fish, etc.) instead of butter.
5;Delicious way to start the day;We had this tea in a restaurant and loved it. I inadvertantly bought a pound of the loose tea, thinking I had bought 100 tea bags.
5;Great popcorn! Just like the movies!;I have been searching to find that perfect movie theater popcorn that I can make at home
5;"Asta the Westie says, ""Five Barks!""";The Three Muske-Terriers, a male Westie, a male Cesky and the Empress-of-All-She-Surveys, a female Scotty are always on the lookout for tasty, healthy treats, (well, as for healthy, that's really more mom and dad's concern). This can be tricky.
1;Holy Creepy Crawlers and No Trapping;Let me start by saying I don't normally write reviews and I buy almost everything via Amazon so I am compelled on this one. Ok so I have my nice flat panel tv mounted to a brick wall in the house we just moved into.
5;Senses Surprised!;My senses were surprised by the aroma of the glistening beans as well as the satisfying flavor of the brew.<br />I substituted this bean when Amazon dropped Starbucks Sumatra from their Subscribe & Save program.
5;Beautiful Taste;I am hypo-glycemic and definitely addicted to sugar.  I have really enjoyed using this in my tea, pies, everywhere that sugars is required.
5;absolutely delicious;i love apple cider, but this was genious to put the caramel with it.  it melts in your mouth & is a warm comforting beverage.
1;ewwwwww;We use instant mashed potatoes a lot but these - I'm not sure what these are. The taste is horrible.
5;Don't run out of this cat food!;My cats love this food!  After doing much research, Weruva appears to be a very high quality food.  And judging their good health ever since starting on this food, it appears to be true.
5;First time, I dig it.;I decided to switch to green tea instead of drinking soda every day. I knew I would miss the sweetness of sugar, so I picked this up to add to my tea.
5;LOVE them but do not buy if you are looking for something sweet!;I LOVE dark chocolate almost the point of eating unsweetened cocoa.  That being said, I love these bars.
5;Awesome bars!!;These are dairy free, which is a very good thing in our house.  They are so good, almost like dessert (think Mounds candy bar).
4;Does the Job;"Edward & Sons Not-Chick'n Bouillon Cubes provide chicken flavoring for vegetarians and vegans who do not want the ""real"" thing.  The flavor is excellent."
2;Poor Quality;I bought this product from Target after I had done what I thought was enough research on baby food makers.  I was originally going to get the baby bullet, but the reviews were not good at all so I went with the brezza instead.
1;One week from expiration date;No aroma and tasted like cigarette ash. I think the beans were rancid when I received them since they were so close to the expiration date.
4;Great toy!;My 6 year old puppy LOVES this toy!  She is a crazy Sheppard mix, 60 pounds and full of energy.  I love finding toys that challenge her and keeps her busy for a while without my arm having the toss something every 30 seconds.
5;great product, great price;I purchased this canned pumpkin to have a ready supply of it for some low cal, weight watchers type desserts that I like to make in the fall and winter..
5;Best Loganberry Jam;This Jam is about the best Loganberry I have found in recent years. Loganberry Jam is very hard to find in retail stores.
5;Best Olive Oil Ever;I was exposed to this product while working in a restaurant. The Chef recomended it.
5;Jet Fuel;This is fantastic coffee..
